SOC1_SC1,SOC1_G1
0.3387,9036.2583
0.3186,8883.8608
0.3786,9703.3792
0.3671,9191.0099
0.333,9520.1661
0.3679,9140.5963
0.3335,9833.4935
0.3686,9393.556
0.3635,10722.1824
0.3669,9098.0574
0.4015,8624.2362
0.2909,9614.5822
0.3972,9867.9318
0.3694,10949.2237
0.4077,10218.5708
0.3286,9264.6319
0.3647,9364.6368
0.3539,10363.0425
0.357,9367.1536
0.326,9648.0462
0.3569,9905.8901
0.3352,10884.8717
0.3052,11747.2
0.3046,9809.4697
0.3638,10922.8822
0.3522,9768.4187
0.3672,10638.5882
0.3244,10418.0294
0.3199,8563.1958
0.3846,10488.2488
0.3933,10817.7406
0.3783,10526.697
0.3721,12059.9524
0.347,9337.9607
0.3266,9946.4884
0.3336,10118.6212
0.33,8723.95
0.3644,8851.1349
0.361,10394.6111
0.3489,9321.109
0.3294,9575.3633
0.3231,8947.9778
0.3268,8454.5588
0.3526,9897.2836
0.3583,9136.3573
0.3565,10604.6098
0.395,10981.6522
0.3427,10745.5459
0.3799,10506.2118
0.3494,10857.3466
0.3751,10178.6939
0.3208,9350.5595
0.3891,11453.735
0.3256,10305.1381
0.3776,9765.1335
0.3815,9520.1812
0.3961,10459.6206
0.3881,9954.7538
0.3755,8882.9889
0.3434,8552.2123
0.2988,9075.3185
0.3724,10747.8664
0.3824,10192.7536
0.378,9935.0452
0.3471,9300.2846
0.3194,9910.4
0.3269,9565.1081
0.3541,9583.0918
0.3857,10061.8932
0.3853,11376.4167
0.3857,10303.7335
0.265,10019.0668
0.3497,9580.0785
0.447,10501.7407
0.3943,10944.9416
0.3692,11652.0918
0.3714,10934.8009
0.3914,10283.8899
0.3425,9401.2857
0.4003,10737.4945
0.3343,10110.5793
0.3637,9585.5985
0.3139,9291.8455
0.3553,9359.2805
0.3427,9529.4658
0.3443,11114.1595
0.4156,10123.1816
0.3919,9717.6796
0.3526,10628.2358
0.4054,10602.4536
0.2981,9323.1414
0.3685,9749.7069
0.3621,9350.2016
0.2825,8464.4502
0.3286,9768.1786
0.3501,9457.5066
0.3167,9035.6846
0.34,8655.6929
0.3261,9989.7094
0.348,9312.0988
0.3746,10186.6032
0.2622,9272.1931
0.3629,10198.9971
0.3545,8932.4769
0.382,9297.0845
0.37,9662.036
0.3339,9873.3426
0.3504,10372.563
0.3967,10147.7735
0.4024,9970.6658
0.349,9250.6221
0.346,10704.304
0.3726,11525.0662
0.3703,10233.5595
0.3068,11853.8604
0.3116,9577.5587
0.3773,10141.8466
0.3492,8896.374
0.3506,10023.4478
0.3868,11092.7174
